Scheduler,Avg_TAT,Avg_Wait,Context_Switches,CPU_Util,Fairness_Index
RR,3806.2670654827425,3798.555300465131,1437,99.99999999999996,0.7469638443762002
SJF,1947.371745699144,1939.659980681532,1000,100.0,0.4912083513162896
PRISM_v1,1950.6627529830018,1942.95098796539,1000,100.0,0.4915545879196352
PRISM_v2,3848.778320342586,3841.0665553249737,1000,100.00000000000004,0.749399357945132
PRISM_v3,2111.7493860971013,2104.037621079489,1000,100.0,0.511510411307654
