Scheduler,Avg_Turnaround,Avg_Waiting,Context_Switches,CPU_Utilization,Fairness_Index
Round Robin,789.3330524351117,781.0330856367806,321,99.99999999999999,0.7471438368117324
SJF,383.7752461368785,375.4752793385474,200,99.99999999999999,0.45505943013339667
PRISM v1,384.45587404710653,376.15590724877546,200,99.99999999999999,0.4553223550849668
PRISM v2,850.796110541761,842.4961437434299,200,99.99999999999999,0.7409364938452854
